Set,Ptros,PT,Ptros_eq3
BL,0.00,0,0
BL,0.12,0.078,0.083333333
BL,0.24,0.169,0.180084746
BL,0.29,0.236,0.251136364
BL,0.40,0.289,0.306944444
BL,0.32,0.303,0.321969697
BL,0.50,0.389,0.413194444
BL,0.36,0.4,0.425
BL,0.78,0.494,0.525
BL,0.77,0.654,0.694711538
BL,0.81,0.842,0.894736842
BL,0.98,0.941,1
BH,0.166666667,0.333333333,0.000
BH,0.090909091,0.340909091,0.011
BH,0.095238095,0.511904762,0.268
BH,0.033707865,0.528089888,0.292
BH,0.260869565,0.565217391,0.348
BH,0.319327731,0.588235294,0.382
BH,0.225,0.625,0.438
BH,0.646153846,0.646153846,0.469
BH,0.482758621,0.681034483,0.522
BH,0.547169811,0.773584906,0.660
BH,0.55,0.9,0.850
BH,0.844444444,0.911111111,0.867
BH,0.571428571,0.948979592,0.923
BH,0.681818182,1,1.000
WS,0.033333333,0,0
WS,0.025641026,0,0
WS,0,0,0
WS,0,0,0
WS,0,0,0
WS,0.051282051,0,0
WS,0.114285714,0.028571429,0.032234432
WS,0.069767442,0.046511628,0.052474657
WS,0.086956522,0.065217391,0.073578595
WS,0.046511628,0.069767442,0.078711986
WS,0.146341463,0.097560976,0.110068793
WS,0.152173913,0.108695652,0.122630992
WS,0.32,0.12,0.135384615
WS,0.166666667,0.125,0.141025641
WS,0.125,0.208333333,0.235042735
WS,0.069767442,0.209302326,0.236135957
WS,0.702380952,0.380952381,0.42979243
WS,0.495238095,0.438095238,0.494261294
WS,0.378378378,0.554054054,0.625086625
WS,0.43902439,0.56097561,0.63289556
WS,0.875,0.75,0.846153846
WS,0.945945946,0.837837838,0.945252945
WS,0.891304348,0.847826087,0.956521739
WS,0.772727273,0.886363636,1
GOM,0,0,0
GOM,0.682926829,0,0
GOM,0,0.02,0.027692308
GOM,0,0.028571429,0.03956044
GOM,0.043478261,0.043478261,0.060200669
GOM,0.222222222,0.055555556,0.076923077
GOM,0.03125,0.0625,0.086538462
GOM,0,0.137931034,0.190981432
GOM,0.25,0.15625,0.216346154
GOM,0.208333333,0.25,0.346153846
GOM,0.575757576,0.424242424,0.587412587
GOM,0.972222222,0.722222222,1
BALT,0.090909091,0,0
BALT,0.752136752,0.034188034,0.092044707
BALT,0.45,0.037037037,0.0997151
BALT,0.35,0.044642857,0.120192307
BALT,0.448717949,0.064102564,0.172583826
BALT,0.82,0.206896552,0.557029179
BALT,0.981818182,0.218181818,0.587412588
BALT,1,0.371428571,1
NORW,0.0625,0,0
NORW,0.694444444,0.01,0.021276596
NORW,0.11,0.26,0.553191489
NORW,0.622222222,0.29,0.617021277
NORW,0.82,0.47,1
