Station,x,y,TSM_mg_l,dumping_are,dredging_ar
O45,74.0844835300,72.0010840290,14.6337100000,14587.1517680000,34050.3380800000
O41,72.9252015040,72.0016095190,69.5856400000,34567.1561890000,18848.8761330000
O44,73.7946966110,72.0003692000,27.1063400000,14374.3635910000,26334.0171170000
O40,72.6353944580,72.0003672430,77.5824900000,43612.2974340000,24911.7407260000
O43,73.5048834160,72.0015315760,62.4130700000,19516.9027060000,19518.2676980000
O42,73.2150444050,72.0022627840,48.4216300000,26233.5810210000,16353.5476500000
O46,74.3743067440,72.0022303410,12.2071500000,20376.3420620000,41704.0037830000
O10,74.1665935050,72.5511168820,62.4130700000,2644.0683181000,3016.0228025000
O12,74.4652525800,72.5521375490,50.2096700000,2306.4036230000,10755.7635520000
O11,74.3159186040,72.5516829130,58.0469700000,0.0000000000,6376.9475853000
O9,73.8953984750,72.3455154000,55.9798200000,16428.4366590000,4825.3287435000
O7,73.1495690540,72.3387651600,55.9798200000,30443.3025740000,10414.0610440000
O8,73.3671863620,72.3430519150,55.9798200000,24837.8617480000,4935.5983300000
O15,74.3193152070,72.6008282630,72.1552000000,2990.2272177000,10538.1206800000
O14,74.3205662860,72.5068986610,55.9798200000,2908.1754847000,5211.3615855000
O34,73.8061251510,72.1644999940,23.4465400000,931.3385861200,15147.9666140000
O38,73.9577304140,72.1205579230,25.2101200000,937.9291007500,22264.4917500000
O33,74.6168795620,72.3361383600,28.1072900000,22988.7636390000,24392.2080960000
O36,74.0984938300,72.1660598480,26.1410300000,1746.7392360000,22802.5629630000
O39,74.9820934370,72.3398930730,,30849.9242390000,33721.8716960000
O35,73.9523029890,72.1653343250,26.1410300000,0.0000000000,18975.2648250000
O31,72.8975084960,72.3432616510,67.1075900000,37664.5489760000,17435.8529350000
O37,73.9608594680,72.2173660100,,2083.9927000000,15551.1953760000
O32,74.2612625660,72.3415358640,36.2288900000,16692.3076980000,14714.7941900000
O16,73.9481155290,72.5353381840,32.4945900000,10102.9871410000,3100.0486022000
O17,74.0667312760,72.5081934520,,7629.9353805000,0.0000000000
O18,74.1849908170,72.4809782510,69.5856400000,7095.2418384000,2876.1267675000
O30,73.2909574020,72.1393245110,52.0637500000,17717.7961860000,3139.8575074000
O29,73.1735921840,72.1660093110,72.1552000000,21739.8070840000,0.0000000000
O28,73.0558876230,72.1926233720,74.8196700000,26101.3194320000,2835.7895917000
O27,73.5110012690,72.2293820660,52.0637500000,13326.4415570000,2768.0125348000
O25,73.2754109880,72.2829427830,58.0469700000,23322.5020210000,3206.8873101000
O26,73.3933779570,72.2561977740,72.1552000000,18324.4694790000,0.0000000000
O18,73.7755417000,72.4707760690,53.9862900000,18103.3147730000,3071.2852853000
O20,73.8939921270,72.4437336320,,16769.2867550000,0.0000000000
O21,74.0120895940,72.4166206640,89.6924600000,16328.0405570000,2896.4631229000
O22,73.4988268900,72.3711318560,67.1075900000,24050.2547240000,3401.3683043000
O23,73.6170375320,72.3442538280,72.1552000000,19301.0520960000,0.0000000000
O24,73.7349002110,72.3173051560,55.9798200000,14717.5821610000,2571.9636041000
O6,74.5980707380,72.7883722180,,24961.0317740000,32873.1247440000
O1,73.1319105190,72.6825728300,14.6337100000,39951.3972770000,34617.7489070000
O2,73.4237380740,72.7045819400,,32333.2964240000,28570.2504560000
O3,73.7162792610,72.7261680590,55.9798200000,26346.3042820000,24153.0464670000
O4,74.0095228770,72.7473295570,64.7177800000,22277.4132030000,23436.8275650000
O5,74.3034575170,72.7680648240,,21445.4983200000,26740.3048470000
