Year,Days_perc_15,Days_perc_50,Days_perc_85,Peak_Days_from_year_start,Species
1961,198,217,237,221,Centropages
1962,188,230,273,262,Centropages
1963,211,222,233,221,Centropages
1964,201,214,227,212,Centropages
1965,190,219,247,241,Centropages
1966,238,243,248,252,Centropages
1967,195,216,236,221,Centropages
1968,191,211,230,201,Centropages
1969,228,235,242,241,Centropages
1970,216,235,255,242,Centropages
1971,232,238,245,242,Centropages
1972,201,221,241,222,Centropages
1973,223,236,250,241,Centropages
1974,228,236,244,241,Centropages
1975,199,212,225,221,Centropages
1976,163,198,233,196.5,Centropages
1977,209,216,223,216,Centropages
1978,207,228,249,242,Centropages
1979,224,237,251,241,Centropages
1980,215,225,235,223,Centropages
1981,223,237,250,242,Centropages
1982,214,233,252,252,Centropages
1983,211,240,270,253,Centropages
1984,229,239,250,253,Centropages
1985,206,223,241,220,Centropages
1986,196,213,230,211,Centropages
1987,213,232,251,230,Centropages
1988,186,206,225,200,Centropages
1989,201,216,232,230,Centropages
1990,212,222,233,231,Centropages
1991,213,229,245,232,Centropages
1992,214,235,256,243,Centropages
1993,200,222,244,232,Centropages
1994,207,223,240,231,Centropages
1995,196,224,253,241,Centropages
1996,225,241,258,253,Centropages
1997,218,230,242,231,Centropages
1998,206,226,247,231,Centropages
1999,205,228,252,241,Centropages
2000,203,213,223,213,Centropages
2001,207,222,237,241,Centropages
2002,199,222,245,231,Centropages
2003,200,210,220,222,Centropages
2004,200,216,232,222,Centropages
2005,203,218,232,231,Centropages
2006,184,210,235,221,Centropages
2007,176,213,250,241,Centropages
2008,155,183,211,172,Centropages
2009,181,189,198,189,Centropages
2010,223,241,259,251,Centropages
2011,204,214,225,221,Centropages
2012,173,210,248,221,Centropages
2013,197,203,209,211,Centropages
2014,199,225,251,231,Centropages
2015,192,204,217,210,Centropages
2016,199,221,243,232,Centropages
2017,190,218,245,233,Centropages
2018,201,218,235,220,Centropages
